Session_Name_,Accuracy Proportion,Samples Removed,Data Loss,Small_ER,Large_ER,Small_RT,Large_RT,Gender,Handedness,Eng_Primary,Age
ETS_0102,0.988888889,8,7.865168539,0.022222222,0,587.5553846,584.3453488,Male,Right,Yes,18.58099795
ETS_0103,0.955555556,12,9.302325581,0.044444444,0.044444444,520.5724324,507.1453659,Male,Right,Yes,18.42241969
ETS_0104,1,13,14.44444444,0,0,674.1645714,644.9628571,Male,Right,Yes,18.36773753
ETS_0105,1,9,10,0,0,532.732439,550.67825,Male,Right,Yes,21.0608339
ETS_0106,0.922222222,12,6.024096386,0.111111111,0.044444444,565.2397297,605.5119512,Female,Right,Yes,21.46001367
ETS_0107,0.966666667,10,8.045977011,0.044444444,0.022222222,687.5860976,686.4576923,Male,Right,Yes,19.6937799
ETS_0108,0.977777778,6,4.545454545,0.022222222,0.022222222,544.9045238,571.1190476,Female,Right,Yes,18.73684211
ETS_0109,0.966666667,9,6.896551724,0,0.066666667,481.7202326,470.8884211,Female,Right,Yes,18.64661654
ETS_0111,0.966666667,12,10.34482759,0.044444444,0.022222222,482.7409524,503.3855556,Female,Right,Yes,20.35543404
ETS_0112,0.988888889,9,8.988764045,0,0.022222222,658.4025641,655.3511905,Male,Right,Yes,18.7696514
ETS_0113,0.944444444,9,4.705882353,0.066666667,0.044444444,523.29475,540.7121951,Male,Right,Yes,18.64114833
ETS_0114,1,14,15.55555556,0,0,726.5880952,748.4929412,Male,Right,Yes,18.38414217
ETS_0115,1,6,6.666666667,0,0,548.1262791,504.1641463,Female,Right,Yes,18.38961039
ETS_0117,0.977777778,8,6.818181818,0.044444444,0,592.346,586.527619,Male,Right,Yes,19.09227614
ETS_0119,0.977777778,6,4.545454545,0.044444444,0,588.1445,607.2322727,Female,Right,Yes,19.27272727
ETS_0120,0.933333333,9,3.571428571,0.066666667,0.066666667,436.67225,472.8304878,Female,Right,Yes,18.33492823
